description,category,amount,merchant,is_synthetic,is_augmented
Payment for services Jan,healthcare,45.3,Prescription,,True
Electronics eBay $79,shopping,15.0,Macy's,,True
Weekly groceries Oct,groceries,122.37,Trader Joe's,,True
payment to Bus Ticket ride,transportation,39.82,Exxon,,True
Jun Paycheck from Acme Inc,salary,7094.1,,,True
Chipotle via PayPal,dining,5.0,Wendy's,,True
Housing Transaction $103,housing,1829.09,Property Tax,,True
$38 Purchase,utilities,52.98,Sewer Bill,,True
Supermarket purchase Apr,groceries,33.05,Kroger,,True
Aug Bank Transfer,entertainment,32.74,Concert,,True
Consulting Services Jun,freelance,2276.92,,,True
Lowe's shopping purchase,shopping,15.0,Lowe's,,True
$39 Home goods,shopping,209.87,Kohl's,,True
chick-fil-a,dining,22.32,McDonald's,,True
Groceries At Giant,groceries,107.66,Publix,,True
$104 Paycheck from Tech Corp,salary,7875.63,,,True
Car maintenance $123,transportation,37.45,Gas Station,,True
at eBay order,shopping,200.55,Kohl's,,True
payment to Meijer grocery,groceries,131.05,Walmart,,True
$101 Home goods,shopping,209.92,Best Buy,,True
Contract Work Invoice #8481,freelance,215.02,,True,
Supermarket purchase $9,groceries,42.33,Safeway,,True
at Coffee at Burger King,dining,24.3,Subway,,True
Feb Purchase,utilities,138.39,Sewer Bill,,True
old navy order,shopping,15.0,Kohl's,,True
COFFEE AT BURGER KING,dining,24.3,Subway,,True
Aug Exxon ride,transportation,59.09,Shell,,True
DINNER AT DUNKIN',dining,27.97,Burger King,,True
Target shopping,shopping,125.6,Old Navy,True,
WEEKLY GROCERIES,groceries,117.07,Kroger,,True
gas at train ticket,transportation,56.85,Bus Ticket,,True
Bank Transfer $189,entertainment,37.81,Concert,,True
Contract Work Invoice #4226 via Google Pay,freelance,534.03,,,True
Electronics Amazon via Mastercard,shopping,166.15,Walmart,,True
payment to Lowe's order,shopping,40.74,Gap,,True
at Walmart order,shopping,145.81,Gap,,True
at Electronics eBay,shopping,15.0,Macy's,,True
Consulting Services Nov,freelance,2515.12,,,True
$52 Food shopping,groceries,73.72,Trader Joe's,,True
payment to Walmart shopping,shopping,271.46,Old Navy,,True
at Kroger grocery,groceries,53.19,Safeway,,True
payment to Food Lion grocery,groceries,47.79,Safeway,,True
lunch at panera bread,dining,11.1,Olive Garden,,True
Purchase Jan,entertainment,52.62,HBO Max,,True
payment to Gas at Mobil,transportation,46.51,BP,,True
Online purchase Old Navy,shopping,15.0,Best Buy,True,
payment to Trader Joe's grocery,groceries,105.95,Walmart,,True
Lunch At Taco Bell,dining,52.23,Panera Bread,,True
Parking fee Jul,transportation,31.55,Exxon,,True
ELECTRONICS LOWE'S,shopping,90.93,Best Buy,,True
payment to Gap order,shopping,15.0,Target,,True
Produce purchase $13,groceries,102.98,Kroger,,True
Lunch At Pizza Hut,dining,28.96,McDonald's,,True
payment to Wendy's,dining,21.26,Pizza Hut,,True
Oct Food shopping,groceries,117.33,Whole Foods,,True
Contract Work Invoice #4694,freelance,1373.02,,,True
Restaurant meal via Google Pay,dining,33.21,Pizza Hut,,True
payment to Groceries at Food Lion,groceries,78.13,Walmart,,True
Apr Taxi service,transportation,65.08,Shell,,True
Apr Chipotle,dining,25.55,Panera Bread,,True
Mar Payment for services,subscriptions,14.52,,,True
Fast food via Apple Pay,dining,51.88,Panera Bread,,True
Contract Work Invoice #1050,freelance,100.0,,True,
$162 Paycheck from Tech Corp,salary,2000.0,,,True
Feb Gas at Uber,transportation,40.44,Mobil,,True
ELECTRONICS MACY'S,shopping,296.56,Kohl's,,True
Contract Work Invoice #3200 via Visa,freelance,1665.41,,,True
$197 Home goods,shopping,90.48,Target,,True
dinner at taco bell,dining,53.26,Domino's,,True
Consulting Services via Mastercard,freelance,2181.23,,,True
Freelance Payment Jun,freelance,1269.38,,,True
eBay shopping,shopping,85.08,Home Depot,True,
Coffee At Starbucks,dining,11.16,Domino's,,True
Jun Purchase,entertainment,22.05,Spotify,,True
coffee at pizza hut,dining,34.43,Dunkin',,True
Restaurant meal via Apple Pay,dining,32.98,Burger King,,True
gas at mobil,transportation,46.51,BP,,True
$6 Purchase,housing,1743.79,Home Insurance,,True
Contract Work Invoice #4572,freelance,100.0,,True,
Food Lion grocery,groceries,140.76,Trader Joe's,True,
Contract Work Invoice #9232,freelance,2599.13,,True,
COSTCO GROCERY,groceries,110.98,Meijer,,True
Bank Transfer $169,subscriptions,14.47,,,True
Best Buy Shopping,shopping,15.0,Lowe's,,True
at Shell ride,transportation,39.76,Shell,,True
CONTRACT WORK INVOICE #7391,freelance,100.0,,,True
Mar Purchase,subscriptions,5.0,,,True
Bank Transfer Sep,housing,1506.63,Property Tax,,True
Online Purchase Ebay,shopping,15.0,Macy's,,True
payment to BP ride,transportation,20.59,Uber,,True
Electronics Amazon $158,shopping,15.0,Nordstrom,,True
purchase,housing,500.0,Apartment,,True
Contract Work Invoice #1681,freelance,2637.59,,True,
Online Purchase Lowe'S,shopping,42.87,Amazon,,True
Contract Work Invoice #6065,freelance,100.0,,True,
Freelance Payment via Google Pay,freelance,100.0,,,True
Weekly groceries via Apple Pay,groceries,55.35,Publix,,True
wendy's,dining,21.26,Pizza Hut,,True
Lowe's order purchase,shopping,40.74,Gap,,True
payment to Dunkin',dining,20.27,Domino's,,True
Lunch at Panera Bread purchase,dining,11.1,Olive Garden,,True
Lowe's order May,shopping,233.56,Target,,True
Supermarket purchase $118,groceries,77.64,Food Lion,,True
Lunch at Chick-fil-A,dining,24.56,Taco Bell,True,
$133 Purchase,utilities,130.15,Cable TV,,True
contract work invoice #5787,freelance,221.08,,,True
Restaurant meal $34,dining,5.0,Pizza Hut,,True
Home goods $197,shopping,90.48,Target,,True
Restaurant meal $145,dining,64.15,Panera Bread,,True
$40 Bank Transfer,utilities,55.55,Internet Service,,True
Home goods via Google Pay,shopping,15.0,Walmart,,True
Contract Work Invoice #2261,freelance,2138.17,,True,
$43 Food shopping,groceries,44.83,Safeway,,True
Lyft ride,transportation,18.99,Parking,True,
Payment for services $132,entertainment,24.97,Hulu,,True
Nov Online purchase Kohl's,shopping,15.0,Macy's,,True
payment to Electronics eBay,shopping,15.0,Macy's,,True
Groceries at Meijer,groceries,40.28,Giant,True,
CONTRACT WORK INVOICE #1040,freelance,100.0,,,True
electronics best buy,shopping,15.0,Target,,True
$29 Bank Transfer,housing,1627.02,Mortgage,,True
Aug Purchase,utilities,87.74,Sewer Bill,,True
Sep Taxi service,transportation,53.33,Lyft,,True
$160 Produce purchase,groceries,63.0,Costco,,True
lunch at olive garden,dining,25.37,Chick-fil-A,,True
Groceries At Target,groceries,43.6,Aldi,,True
Groceries at Food Lion purchase,groceries,78.13,Walmart,,True
Purchase Aug,utilities,87.74,Sewer Bill,,True
Gas at Exxon,transportation,48.35,Parking,True,
Contract Work Invoice #6314,freelance,2236.41,,True,
Dinner at Applebees purchase,dining,18.99,Subway,,True
Feb Purchase,subscriptions,32.02,,,True
Gas at Gas Station via Mastercard,transportation,40.31,Shell,,True
$114 Entertainment Transaction,entertainment,23.58,Bowling,,True
Olive Garden purchase,dining,24.97,Chipotle,,True
at Gas at Metro Transit,transportation,23.82,BP,,True
Contract Work Invoice #7017,freelance,987.25,,True,
Publix grocery via Mastercard,groceries,113.23,Publix,,True
Contract Work Invoice #9116,freelance,100.0,,True,
at Online purchase Kohl's,shopping,29.29,eBay,,True
amazon shopping,shopping,207.21,Old Navy,,True
Nov Freelance Payment,freelance,100.0,,,True
Contract Work Invoice #4575,freelance,2883.55,,True,
Shell ride $145,transportation,54.55,BP,,True
Purchase Feb,entertainment,33.74,Spotify,,True
COFFEE AT STARBUCKS,dining,11.16,Domino's,,True
eBay order purchase,shopping,200.55,Kohl's,,True
Nov Monthly Salary Deposit,salary,2000.0,,,True
at Lunch at Subway,dining,72.16,Burger King,,True
Public transportation Oct,transportation,48.59,Bus Ticket,,True
at Parking fee,transportation,27.47,Gas Station,,True
Contract Work Invoice #7937,freelance,100.0,,True,
Bank Transfer $75,entertainment,53.26,Arcade,,True
Whole Foods grocery $157,groceries,58.6,Publix,,True
lowe's shopping,shopping,15.0,Lowe's,,True
Contract Work Invoice #1491,freelance,2660.79,,,True
lunch at chick-fil-a,dining,35.43,Wendy's,,True
Bus Ticket ride,transportation,26.81,Bus Ticket,True,
payment to Best Buy order,shopping,15.0,Macy's,,True
coffee at taco bell,dining,30.27,Pizza Hut,,True
Contract Work Invoice #9170,freelance,2712.12,,True,
$93 Produce purchase,groceries,81.92,Trader Joe's,,True
Whole Foods grocery,groceries,123.92,Trader Joe's,True,
Lunch at Burger King,dining,5.0,Panera Bread,True,
at Online purchase Old Navy,shopping,15.0,Nordstrom,,True
Fast food via PayPal,dining,14.8,Panera Bread,,True
$55 Bank Transfer,entertainment,15.83,Concert,,True
Electronics Walmart $136,shopping,15.0,Macy's,,True
Online purchase eBay $93,shopping,15.0,Macy's,,True
COFFEE AT APPLEBEES,dining,56.65,Domino's,,True
Parking fee $39,transportation,28.67,Exxon,,True
$95 Bank Transfer,utilities,149.02,Phone Bill,,True
Ebay Order,shopping,200.55,Kohl's,,True
Fast food via Mastercard,dining,37.55,Burger King,,True
$121 Target grocery,groceries,111.34,Publix,,True
$29 Groceries at Costco,groceries,47.44,Walmart,,True
Home Depot order,shopping,127.5,Nordstrom,True,
at Best Buy order,shopping,15.0,Macy's,,True
payment to Groceries at Kroger,groceries,105.71,Food Lion,,True
Contract Work Invoice #7712,freelance,902.02,,True,
Online purchase Macy's,shopping,208.51,Macy's,True,
at Online purchase Macy's,shopping,108.05,Home Depot,,True
Kohl's shopping purchase,shopping,125.5,Walmart,,True
Monthly Salary Deposit $180,salary,2049.15,,,True
Dinner at Wendy's purchase,dining,33.36,Chick-fil-A,,True
$195 Produce purchase,groceries,129.54,Safeway,,True
Bank Transfer via Google Pay,housing,844.59,Home Insurance,,True
Public transportation via Google Pay,transportation,66.55,Lyft,,True
Home goods $73,shopping,91.13,eBay,,True
Nordstrom order Mar,shopping,24.42,Nordstrom,,True
Chipotle via Visa,dining,25.55,Panera Bread,,True
payment to Parking fee,transportation,27.47,Gas Station,,True
payment to Groceries at Target,groceries,43.6,Aldi,,True
Jun Taxi service,transportation,10.0,Shell,,True
$145 Lunch at Domino's,dining,17.26,McDonald's,,True
$13 Produce purchase,groceries,102.98,Kroger,,True
ONLINE PURCHASE LOWE'S,shopping,42.87,Amazon,,True
Online Purchase Old Navy,shopping,15.0,Nordstrom,,True
walmart shopping,shopping,271.46,Old Navy,,True
UBER RIDE,transportation,14.83,Train Ticket,,True
Walmart shopping purchase,shopping,271.46,Old Navy,,True
Bank Transfer $40,utilities,55.55,Internet Service,,True
Lyft ride $32,transportation,43.33,Lyft,,True
$117 Bank Transfer,subscriptions,22.43,,,True
Contract Work Invoice #6678,freelance,838.39,,True,
Panera Bread purchase,dining,5.0,Dunkin',,True
Contract Work Invoice #6478,freelance,1409.19,,True,
Lowe'S Shopping,shopping,15.0,Lowe's,,True
Contract Work Invoice #5100 via Google Pay,freelance,100.0,,,True
Gas at Train Ticket $54,transportation,56.85,Bus Ticket,,True
Groceries at Costco $29,groceries,47.44,Walmart,,True
$123 Car maintenance,transportation,37.45,Gas Station,,True
at Lunch at Olive Garden,dining,25.37,Chick-fil-A,,True
Sep Restaurant meal,dining,28.5,Chick-fil-A,,True
Coffee at Wendy's,dining,5.0,Panera Bread,True,
Nov Direct Deposit Salary,salary,6078.32,,,True
Groceries at Publix via Mastercard,groceries,20.0,Walmart,,True
Monthly Salary Deposit $176,salary,2000.0,,,True
LUNCH AT MCDONALD'S,dining,13.65,Chipotle,,True
Contract Work Invoice #8326,freelance,100.0,,True,
bank transfer,healthcare,213.68,Health Insurance,,True
payment to Best Buy shopping,shopping,15.0,Lowe's,,True
Consulting Services via PayPal,freelance,2515.12,,,True
payment to Amazon shopping,shopping,207.21,Old Navy,,True
Aug Payment for services,healthcare,86.85,Dentist,,True
Dec Supermarket purchase,groceries,122.87,Walmart,,True
Contract Work Invoice #3556,freelance,984.78,,True,
CONTRACT WORK INVOICE #9361,freelance,100.0,,,True
Gas at Lyft purchase,transportation,21.5,Shell,,True
Electronics Walmart,shopping,107.03,Old Navy,True,
Giant grocery $166,groceries,76.79,Publix,,True
DUNKIN',dining,20.27,Domino's,,True
electronics macy's,shopping,296.56,Kohl's,,True
Contract Work Invoice #9334,freelance,1132.36,,True,
Meijer grocery $136,groceries,59.32,Aldi,,True
$146 Contract Work Invoice #6963,freelance,241.86,,,True
Purchase,healthcare,20.0,Dentist,True,
$57 Online purchase Best Buy,shopping,37.09,Kohl's,,True
Monthly Salary Deposit via Visa,salary,4905.03,,,True
payment to Lunch at McDonald's,dining,13.65,Chipotle,,True
GROCERIES AT GIANT,groceries,107.66,Publix,,True
Contract Work Invoice #2771,freelance,1240.05,,True,
panera bread,dining,5.0,Dunkin',,True
Public transportation via Mastercard,transportation,54.77,Mobil,,True
Applebees $52,dining,17.31,Panera Bread,,True
payment to Publix grocery,groceries,113.23,Publix,,True
Payment for services Nov,entertainment,17.96,YouTube Premium,,True
at Whole Foods grocery,groceries,30.1,Meijer,,True
TARGET GROCERY,groceries,127.59,Target,,True
payment to Gas at Uber,transportation,40.44,Mobil,,True
Contract Work Invoice #4026,freelance,3414.35,,True,
payment to Groceries at Trader Joe's,groceries,75.29,Walmart,,True
GAS AT GAS STATION,transportation,11.4,Gas Station,,True
Amazon order,shopping,71.01,Gap,True,
Subscriptions Transaction via PayPal,subscriptions,5.0,,,True
Jul Train Ticket ride,transportation,33.19,Shell,,True
Contract Work Invoice #8465,freelance,1193.27,,True,
groceries at meijer,groceries,137.65,Publix,,True
Contract Work Invoice #3182,freelance,871.96,,True,
Purchase $151,housing,546.12,Mortgage,,True
Contract Work Invoice #6864,freelance,899.24,,True,
Shell ride,transportation,60.01,Lyft,True,
Electronics Walmart purchase,shopping,481.95,Target,,True
Contract Work Invoice #7356,freelance,1041.21,,True,
Taco Bell,dining,5.0,Starbucks,True,
payment to Coffee at Taco Bell,dining,30.27,Pizza Hut,,True
Contract Work Invoice #7508,freelance,1785.87,,True,
Groceries At Costco,groceries,53.38,Trader Joe's,,True
at Dinner at McDonald's,dining,21.2,Wendy's,,True
Contract Work Invoice #6892,freelance,891.82,,True,
Online Purchase Amazon,shopping,217.14,Best Buy,,True
Payment for services $48,entertainment,46.51,Spotify,,True
Contract Work Invoice #4165,freelance,473.61,,True,
Freelance Payment via PayPal,freelance,962.44,,,True
groceries at whole foods,groceries,102.84,Target,,True
Mar Subscriptions Transaction,subscriptions,5.0,,,True
Bank Transfer $28,healthcare,70.37,Medical Supplies,,True
Parking fee purchase,transportation,27.47,Gas Station,,True
Mobil ride purchase,transportation,33.38,Mobil,,True
Home goods via Visa,shopping,235.78,Macy's,,True
Coffee At Pizza Hut,dining,34.43,Dunkin',,True
Utilities Transaction via Visa,utilities,177.28,Electric Company,,True
ALDI GROCERY,groceries,196.37,Walmart,,True
HEALTHCARE TRANSACTION,healthcare,20.0,Hospital,,True
Dec Fast food,dining,22.09,Starbucks,,True
Contract Work Invoice #7647,freelance,562.41,,,True
Groceries at Trader Joe's Dec,groceries,75.29,Walmart,,True
Groceries at Kroger $140,groceries,104.17,Whole Foods,,True
Contract Work Invoice #8320,freelance,3725.98,,True,
Contract Work Invoice #9883,freelance,212.19,,True,
Lyft ride $10,transportation,32.43,BP,,True
$27 Car maintenance,transportation,13.4,Parking,,True
Uber ride purchase,transportation,14.83,Train Ticket,,True
at Coffee at Taco Bell,dining,30.27,Pizza Hut,,True
Chick-fil-A purchase,dining,22.32,McDonald's,,True
$41 Weekly groceries,groceries,20.0,Walmart,,True
Housing Transaction via Apple Pay,housing,1612.58,Property Tax,,True
BANK TRANSFER,entertainment,42.8,Netflix,,True
Purchase Jul,subscriptions,28.92,,,True
Contract Work Invoice #2121 $137,freelance,701.97,,,True
Gas at Mobil,transportation,46.26,Uber,True,
Entertainment Transaction Nov,entertainment,10.0,Spotify,,True
payment to Coffee at Wendy's,dining,35.61,Burger King,,True
Food shopping via Mastercard,groceries,54.87,Safeway,,True
Contract Work Invoice #3510,freelance,100.0,,True,
payment to Dinner at Dunkin',dining,27.97,Burger King,,True
Contract Work Invoice #5415,freelance,833.73,,True,
CONTRACT WORK INVOICE #5100,freelance,100.0,,,True
online purchase kohl's,shopping,29.29,eBay,,True
FAST FOOD,dining,14.8,Panera Bread,,True
Contract Work Invoice #2123,freelance,344.22,,True,
housing transaction,housing,1089.63,Property Tax,,True
Contract Work Invoice #4579,freelance,100.0,,True,
Apr Payment for services,entertainment,56.58,Netflix,,True
DIRECT DEPOSIT SALARY,salary,5685.03,,,True
Nov Fast food,dining,25.5,Subway,,True
Kohl's shopping via Google Pay,shopping,207.65,Lowe's,,True
Payment for services $172,subscriptions,18.95,,,True
$87 Lowe's order,shopping,15.0,Lowe's,,True
PAYCHECK FROM GLOBAL SOLUTIONS,salary,6752.29,,,True
Apr Fast food,dining,67.82,Wendy's,,True
$93 Online purchase eBay,shopping,15.0,Macy's,,True
at Walmart grocery,groceries,89.68,Whole Foods,,True
Contract Work Invoice #5556,freelance,1011.59,,True,
Online purchase Best Buy,shopping,65.91,Lowe's,True,
WHOLE FOODS GROCERY,groceries,30.1,Meijer,,True
Contract Work Invoice #2121 via Google Pay,freelance,701.97,,,True
Starbucks purchase,dining,5.0,Starbucks,,True
Bank Transfer via Visa,entertainment,43.21,Netflix,,True
$96 Taxi service,transportation,65.08,Shell,,True
Supermarket purchase Oct,groceries,74.47,Target,,True
Applebees purchase,dining,31.4,Wendy's,,True
$20 Freelance Payment,freelance,2148.56,,,True
Contract Work Invoice #8672,freelance,1003.07,,True,
Dinner at Chipotle purchase,dining,38.28,Taco Bell,,True
$162 Purchase,subscriptions,15.56,,,True
purchase,subscriptions,21.48,,,True
Dinner at Starbucks,dining,5.0,Wendy's,True,
Purchase $53,healthcare,178.85,Medical Supplies,,True
Freelance Payment via Apple Pay,freelance,100.0,,,True
groceries at walmart,groceries,79.93,Costco,,True
Gas at Lyft,transportation,10.0,Train Ticket,True,
$136 Electronics Walmart,shopping,15.0,Macy's,,True
May Lowe's order,shopping,233.56,Target,,True
Exxon ride purchase,transportation,15.39,Gas Station,,True
$75 Bank Transfer,entertainment,53.26,Arcade,,True
Bank Transfer via Google Pay,entertainment,26.29,Disney+,,True
PUBLIX GROCERY,groceries,113.23,Publix,,True
Lunch at Chipotle $123,dining,23.95,Taco Bell,,True
Panera Bread,dining,20.95,Applebees,True,
Oct Weekly groceries,groceries,122.37,Trader Joe's,,True
Paycheck from Innovation Co via Google Pay,salary,7996.93,,,True
Jul Bank Transfer,housing,1731.99,Apartment,,True
Gas at Train Ticket via Visa,transportation,24.66,Uber,,True
$165 Subscriptions Transaction,subscriptions,26.18,,,True
Coffee At Panera Bread,dining,32.48,Taco Bell,,True
Amazon order $10,shopping,86.3,Best Buy,,True
Lunch at Pizza Hut,dining,24.18,Pizza Hut,True,
at Groceries at Meijer,groceries,137.65,Publix,,True
Contract Work Invoice #7418,freelance,1337.29,,True,
Lunch At Mcdonald'S,dining,13.65,Chipotle,,True
at Trader Joe's grocery,groceries,105.95,Walmart,,True
Paycheck from Acme Inc $121,salary,3391.99,,,True
online purchase ebay,shopping,15.0,Macy's,,True
Exxon ride $186,transportation,63.62,Uber,,True
Contract Work Invoice #4796,freelance,298.65,,,True
$188 Gas at Gas Station,transportation,11.4,Gas Station,,True
$37 Bank Transfer,utilities,268.77,Cable TV,,True
Lunch At Applebees,dining,21.53,Pizza Hut,,True
payment to Aldi grocery,groceries,196.37,Walmart,,True
Lunch at Subway purchase,dining,72.16,Burger King,,True
Contract Work Invoice #7374,freelance,1153.0,,True,
Lyft ride May,transportation,43.33,Lyft,,True
Whole Foods grocery purchase,groceries,30.1,Meijer,,True
contract work invoice #8932,freelance,351.89,,,True
Pizza Hut,dining,15.37,Subway,True,
Walmart shopping via Google Pay,shopping,250.78,Best Buy,,True
Target grocery purchase,groceries,127.59,Target,,True
Contract Work Invoice #6237,freelance,505.6,,True,
Jan Olive Garden,dining,24.97,Chipotle,,True
BUS TICKET RIDE,transportation,39.82,Exxon,,True
$17 Fast food,dining,15.51,Chipotle,,True
groceries at costco,groceries,53.38,Trader Joe's,,True
Jan Car maintenance,transportation,16.61,Gas Station,,True
Mar Online purchase Old Navy,shopping,15.0,Nordstrom,,True
$33 Bank Transfer,utilities,112.17,Gas Company,,True
Contract Work Invoice #2487,freelance,3177.2,,True,
Aldi grocery,groceries,63.38,Meijer,True,
Produce purchase $82,groceries,20.0,Walmart,,True
KROGER GROCERY,groceries,53.19,Safeway,,True
Contract Work Invoice #5225,freelance,1295.67,,True,
Gas at Bus Ticket purchase,transportation,38.63,Shell,,True
Home Depot shopping Mar,shopping,190.35,Old Navy,,True
Online purchase Nordstrom,shopping,15.0,Home Depot,True,
at Gas Station ride,transportation,20.69,Exxon,,True
payment to Old Navy shopping,shopping,15.0,Nordstrom,,True
Produce purchase Apr,groceries,129.54,Safeway,,True
Contract Work Invoice #4814,freelance,2675.95,,True,
electronics amazon,shopping,327.96,Lowe's,,True
Walmart grocery via Apple Pay,groceries,64.05,Food Lion,,True
Contract Work Invoice #2957,freelance,424.92,,True,
Supermarket purchase Dec,groceries,122.87,Walmart,,True
$118 Payment for services,healthcare,277.7,Optometrist,,True
Kohl's shopping Jan,shopping,31.34,Target,,True
Groceries at Walmart $144,groceries,64.39,Publix,,True
Contract Work Invoice #8298,freelance,732.86,,True,
Macy's shopping,shopping,15.0,eBay,True,
$145 Restaurant meal,dining,64.15,Panera Bread,,True
lunch at pizza hut,dining,28.96,McDonald's,,True
Freelance Payment $157,freelance,1841.38,,,True
BANK TRANSFER,housing,1542.82,Mortgage,,True
Costco grocery,groceries,22.53,Walmart,True,
Lunch at Burger King via Mastercard,dining,43.08,Wendy's,,True
at Electronics Old Navy,shopping,44.86,Old Navy,,True
$54 Gas at Train Ticket,transportation,56.85,Bus Ticket,,True
Food Lion grocery via Visa,groceries,20.0,Kroger,,True
at Home Depot order,shopping,15.0,Amazon,,True
Consulting Services via Apple Pay,freelance,766.05,,,True
Amazon Shopping,shopping,207.21,Old Navy,,True
Groceries at Costco,groceries,53.41,Walmart,True,
Utilities Transaction $84,utilities,196.15,Water Bill,,True
$10 Consulting Services,freelance,2567.57,,,True
Utilities Transaction via Apple Pay,utilities,112.13,Water Bill,,True
Supermarket purchase Jan,groceries,42.33,Safeway,,True
dinner at chipotle,dining,38.28,Taco Bell,,True
payment to Exxon ride,transportation,15.39,Gas Station,,True
Jan Purchase,utilities,30.0,Electric Company,,True
Groceries at Safeway via Mastercard,groceries,83.56,Publix,,True
Old Navy shopping Mar,shopping,94.93,Kohl's,,True
Jun Bank Transfer,subscriptions,22.43,,,True
coffee at wendy's,dining,35.61,Burger King,,True
Coffee at Taco Bell,dining,17.17,Wendy's,True,
$175 Taxi service,transportation,19.4,Train Ticket,,True
Lunch at Domino's,dining,14.91,Pizza Hut,True,
gas station ride,transportation,20.69,Exxon,,True
$192 Bank Transfer,housing,1248.15,Apartment,,True
Contract Work Invoice #4758,freelance,4064.84,,True,
Jun Utilities Transaction,utilities,230.5,Water Bill,,True
payment to Coffee at Burger King,dining,24.3,Subway,,True
Bank Transfer Aug,entertainment,32.74,Concert,,True
Applebees $136,dining,14.25,Domino's,,True
Paycheck from Tech Corp,salary,2000.0,,True,
$142 Bank Transfer,healthcare,27.4,Health Insurance,,True
Food shopping via Apple Pay,groceries,67.11,Meijer,,True
payment to Electronics Old Navy,shopping,44.86,Old Navy,,True
Electronics Macy's Apr,shopping,296.56,Kohl's,,True
Contract Work Invoice #1288,freelance,690.16,,True,
Supermarket purchase via Mastercard,groceries,78.99,Trader Joe's,,True
Direct Deposit Salary Jul,salary,3812.21,,,True
at Safeway grocery,groceries,110.09,Food Lion,,True
$124 Direct Deposit Salary,salary,5966.92,,,True
Contract Work Invoice #9152,freelance,100.0,,True,
Public transportation May,transportation,74.66,Shell,,True
Gas At Lyft,transportation,21.5,Shell,,True
Parking fee,transportation,52.9,Uber,True,
at Online purchase Amazon,shopping,217.14,Best Buy,,True
groceries at giant,groceries,107.66,Publix,,True
Purchase $96,entertainment,22.05,Spotify,,True
Bank Transfer Apr,subscriptions,11.95,,,True
at Giant grocery,groceries,81.55,Food Lion,,True
Meijer grocery $92,groceries,73.98,Meijer,,True
Monthly Salary Deposit $103,salary,7408.81,,,True
at Groceries at Walmart,groceries,79.93,Costco,,True
at Electronics Macy's,shopping,296.56,Kohl's,,True
Contract Work Invoice #5707,freelance,1752.2,,True,
$91 Bank Transfer,housing,2312.76,Home Insurance,,True
PAYCHECK FROM TECH CORP,salary,5285.52,,,True
Taxi service Aug,transportation,28.04,Mobil,,True
Bank Transfer $198,entertainment,26.32,Hulu,,True
Jul Restaurant meal,dining,31.69,Panera Bread,,True
Lowe's order via Mastercard,shopping,15.0,Lowe's,,True
Produce purchase via Mastercard,groceries,102.71,Food Lion,,True
Fast food Nov,dining,25.5,Subway,,True
Best Buy shopping,shopping,163.39,eBay,True,
Dunkin' via Visa,dining,20.27,Domino's,,True
May Public transportation,transportation,74.66,Shell,,True
lunch at applebees,dining,21.53,Pizza Hut,,True
Bank Transfer via PayPal,subscriptions,18.06,,,True
Target grocery,groceries,171.95,Trader Joe's,True,
payment to Walmart grocery,groceries,89.68,Whole Foods,,True
$58 Purchase,subscriptions,28.92,,,True
Purchase Sep,housing,1956.2,Rent Payment,,True
Purchase $58,subscriptions,28.92,,,True
Chick-Fil-A,dining,22.32,McDonald's,,True
CONTRACT WORK INVOICE #3200,freelance,1665.41,,,True
Payment for services $188,utilities,80.82,Phone Bill,,True
Contract Work Invoice #4599,freelance,1121.96,,True,
Contract Work Invoice #7604,freelance,351.84,,True,
Paycheck from Tech Corp $162,salary,2000.0,,,True
Taxi service Jun,transportation,10.0,Shell,,True
Bank Transfer,subscriptions,6.24,,True,
Supermarket purchase $130,groceries,33.05,Kroger,,True
Housing Transaction $137,housing,1612.58,Property Tax,,True
Restaurant meal Jun,dining,5.0,Pizza Hut,,True
GROCERIES AT KROGER,groceries,105.71,Food Lion,,True
Fast food Apr,dining,67.82,Wendy's,,True
coffee at chipotle,dining,42.03,Wendy's,,True
Feb Gas at Gas Station,transportation,37.33,Parking,,True
$101 Groceries at Giant,groceries,107.66,Publix,,True
Jun Produce purchase,groceries,105.89,Publix,,True
Electronics eBay purchase,shopping,15.0,Macy's,,True
$7 Paycheck from Innovation Co,salary,7996.93,,,True
Coffee at Applebees $143,dining,56.65,Domino's,,True
Healthcare Transaction via PayPal,healthcare,403.84,Prescription,,True
Jun Freelance Payment,freelance,1269.38,,,True
Nov Bank Transfer,subscriptions,17.16,,,True
Paycheck From Global Solutions,salary,6752.29,,,True
Lowe'S Order,shopping,40.74,Gap,,True
Coffee at Pizza Hut,dining,30.45,Panera Bread,True,
Contract Work Invoice #9220,freelance,100.0,,True,
Paycheck from Tech Corp Aug,salary,2669.24,,,True
Public transportation via Visa,transportation,52.39,Train Ticket,,True
$151 Purchase,housing,546.12,Mortgage,,True
Payment for services Apr,healthcare,267.08,Pharmacy,,True
Contract Work Invoice #4180,freelance,3024.17,,True,
Healthcare Transaction Aug,healthcare,20.0,Hospital,,True
Online purchase eBay,shopping,45.29,Nordstrom,True,
at Amazon order,shopping,86.3,Best Buy,,True
Target shopping via PayPal,shopping,15.0,Target,,True
Purchase via Visa,healthcare,178.85,Medical Supplies,,True
at Coffee at Applebees,dining,56.65,Domino's,,True
Payment For Services,utilities,219.53,Cable TV,,True
Contract Work Invoice #7871,freelance,2184.83,,True,
Dinner at Panera Bread,dining,18.77,Taco Bell,True,
Contract Work Invoice #2028,freelance,1998.79,,True,
